,문제번호,원래 text,정답 text,문제유형
10,11,,,어법상 맞는 표현 고르는 문제
11,12,,,어법상 맞는 표현 고르는 문제
12,13,,,어법상 맞는 표현 고르는 문제
13,14,,,어법상 맞는 표현 고르는 문제
14,15,,,어법상 맞는 표현 고르는 문제
15,3,"Learning to relax takes time―at least half an hour a day for the first few weeks. But if you feel tense, learning how to relax should become a priority. Decide first which time of the day suits you best. You need to find a time when you can make yourself warm and comfortable, and (A) which / when you will not be disturbed, either by other people or by the telephone. If it is difficult for you to see how you can fit a relaxation practice time into your day, then ask yourself what you could give up in order to make time, or (B) how / what others could help you protect the space and  time that you need. Making relaxation into a routine, and (C) practice / practicing it at the same time, every day, can relieve you of the task of deciding each day when you will do it, and make it easier to remember to practice.","Learning to relax takes time―at least half an hour a day for the first few weeks. But if you feel tense, learning how to relax should become a priority. Decide first which time of the day suits you best. You need to find a time when you can make yourself warm and comfortable, and when you will not be disturbed, either by other people or by the telephone. If it is difficult for you to see how you can fit a relaxation practice time into your day, then ask yourself what you could give up in order to make time, or how others could help you protect the space and  time that you need. Making relaxation into a routine, and practicing it at the same time, every day, can relieve you of the task of deciding each day when you will do it, and make it easier to remember to practice.",어법상 맞는 표현 고르는 문제
16,17,,,어법상 맞는 표현 고르는 문제
17,3,"In a recent study, my graduate students and I showed that the practice of repetitively replaying your happiest life events (A) serve / serves to prolong and reinforce positive emotions and make you happier. So think about one of your happiest days ― commencement day, the first time you heard, ""I love you,"" the day you brought home a puppy ― and replay it in your mind. Think about the events of the day, and remember what happened in as much (B) detail / detailed as you can. What exactly did you say or do? What were the thoughts and emotions running through your head at the time? Don’t analyze this day; just replay and revel in it. We found that people (C) performed / who performed this exercise for eight minutes per day on three consecutive days felt more intense positive emotions up to four weeks later. *revel in ~을 만끽하다","In a recent study, my graduate students and I showed that the practice of repetitively replaying your happiest life events serves to prolong and reinforce positive emotions and make you happier. So think about one of your happiest days ― commencement day, the first time you heard, ""I love you,"" the day you brought home a puppy ― and replay it in your mind. Think about the events of the day, and remember what happened in as much detail as you can. What exactly did you say or do? What were the thoughts and emotions running through your head at the time? Don’t analyze this day; just replay and revel in it. We found that people who performed this exercise for eight minutes per day on three consecutive days felt more intense positive emotions up to four weeks later. *revel in ~을 만끽하다",어법상 맞는 표현 고르는 문제
18,19,,,어법상 맞는 표현 고르는 문제
19,20,,,어법상 맞는 표현 고르는 문제
20,3,"Contempt is similar to disgust, but does not seem to reflect a physical displeasure, the way that disgust (A) does / is. Instead, contempt is seen when people feel superior to others or when they disapprove of their actions or demeanor. Contempt can blend with anger, disgust, or happiness (B) formed / to form several different expressions. While some experts would not agree, Paul Ekman, the manager of a small company that produces training devices relevant to emotional skills, (C) believe / believes that contempt is an emotion exhibited with the same facial expression throughout the world. The facial signals that indicate contempt include wrinkles on the nose, one lip often raised in a sneer, lips sometimes pushed forward, and a tight mouth with slightly raised corners.","Contempt is similar to disgust, but does not seem to reflect a physical displeasure, the way that disgust does. Instead, contempt is seen when people feel superior to others or when they disapprove of their actions or demeanor. Contempt can blend with anger, disgust, or happiness to form several different expressions. While some experts would not agree, Paul Ekman, the manager of a small company that produces training devices relevant to emotional skills, believes that contempt is an emotion exhibited with the same facial expression throughout the world. The facial signals that indicate contempt include wrinkles on the nose, one lip often raised in a sneer, lips sometimes pushed forward, and a tight mouth with slightly raised corners.",어법상 맞는 표현 고르는 문제
21,3,"I’ve had clients come into my office with shopping bags (A) fill / filled with mutual fund statements, bank statements, you name it. Take Karen and Tom, a successful couple in their 50s. They came into my office one day, dumped the contents of a bulging department-store shopping bag onto my desk, and (B) announcing / announced, ""David, we’re the people you talk about in your seminars!"" We started going through their statements together, and you know what? Even though Karen and Tom had been (C) enough organized / organized enough to save the statements they’d been sent, most of the envelopes had never been opened! They hadn’t looked at their accounts for months. Now, I’m sure that you’re not like this, but I’ll bet many of your friends are. ","I’ve had clients come into my office with shopping bags filled with mutual fund statements, bank statements, you name it. Take Karen and Tom, a successful couple in their 50s. They came into my office one day, dumped the contents of a bulging department-store shopping bag onto my desk, and announced, ""David, we’re the people you talk about in your seminars!"" We started going through their statements together, and you know what? Even though Karen and Tom had been organized enoughto save the statements they’d been sent, most of the envelopes had never been opened! They hadn’t looked at their accounts for months. Now, I’m sure that you’re not like this, but I’ll bet many of your friends are. ",어법상 맞는 표현 고르는 문제
22,3,"Years ago, Lacy used to lie in bed and imagine what her life would have been like (A) if / had she not been a mother. She’d picture Joey bringing her a bouquet of dandelion weeds and clover; Peter falling asleep against her chest with the tail of her braid still (B) clutching / clutched in his hand. She relived the clenching fist of labor pains, and the mantra she’d used to get through them: ""When this is done, imagine what you’ll have."" Motherhood had painted the colors of Lacy’s world a bit brighter and swelled her to the seams with the belief (C) which / that her life could not possibly be more complete. What she hadn’t realized was that sometimes when your vision was that sharp and true, it could cut you. That only if you’d felt such fullness could you really understand the ache of being empty. *mantra 만트라 (특히 기도·명상 때 외는 주문) ","Years ago, Lacy used to lie in bed and imagine what her life would have been like had she not been a mother. She’d picture Joey bringing her a bouquet of dandelion weeds and clover; Peter falling asleep against her chest with the tail of her braid still clutchedin his hand. She relived the clenching fist of labor pains, and the mantra she’d used to get through them: ""When this is done, imagine what you’ll have."" Motherhood had painted the colors of Lacy’s world a bit brighter and swelled her to the seams with the belief that her life could not possibly be more complete. What she hadn’t realized was that sometimes when your vision was that sharp and true, it could cut you. That only if you’d felt such fullness could you really understand the ache of being empty. *mantra 만트라 (특히 기도·명상 때 외는 주문) ",어법상 맞는 표현 고르는 문제
23,24,,,어법상 맞는 표현 고르는 문제
24,25,,,어법상 맞는 표현 고르는 문제
25,3,"In the twenty-first century, technology will change the world faster than ever―the global environment, our life styles, even human nature itself. We are far more empowered by science than any previous generation (A) was/did . Science offers immense potential, especially for the developing world, but there could be catastrophic consequences. We are living in the first century (B) was/did the greatest risks will come from human actions rather than from nature. However, almost any scientific discovery has a potential for evil as well as for good; its applications can be channeled either way, depending on our personal and political choices. We can’t accept the benefits without also confronting the risks. The decisions we make, individually and collectively, will determine (C) what/whether the outcomes of twenty-first-century sciences are friendly or devastating.","In the twenty-first century, technology will change the world faster than ever―the global environment, our life styles, even human nature itself. We are far more empowered by science than any previous generation was . Science offers immense potential, especially for the developing world, but there could be catastrophic consequences. We are living in the first century when the greatest risks will come from human actions rather than from nature. However, almost any scientific discovery has a potential for evil as well as for good; its applications can be channeled either way, depending on our personal and political choices. We can’t accept the benefits without also confronting the risks. The decisions we make, individually and collectively, will determine whether the outcomes of twenty-first-century sciences are friendly or devastating.",어법상 맞는 표현 고르는 문제
26,3,"My plane lands in Mumbai around 1:30 a.m. I find my luggage, then find the taxi that will take me out of the city to the Ashram, (A) locating / located in a remote rural village. I doze on the drive through nighttime India, sometimes waking to look out the window, (B) which / where I can see strange haunted shapes of thin women in saris walking alongside the road with bundles of firewood on their heads. Buses with no headlights pass us, and we pass oxcarts. We pull up to the front gate of the Ashram at 3:30 a.m., right in front of the temple. As I’m getting out of the taxi, a young man in Western clothes and a wool hat steps out of the shadows and introduces (C) him / himself  . As we’re exchanging whispered introductions, I can hear the first familiar bars of my favorite Sanskrit hymn coming from inside.*Ashram 아시람(힌두교도들이 수행하며 거주하는 곳)","My plane lands in Mumbai around 1:30 a.m. I find my luggage, then find the taxi that will take me out of the city to the Ashram, located in a remote rural village. I doze on the drive through nighttime India, sometimes waking to look out the window, where I can see strange haunted shapes of thin women in saris walking alongside the road with bundles of firewood on their heads. Buses with no headlights pass us, and we pass oxcarts. We pull up to the front gate of the Ashram at 3:30 a.m., right in front of the temple. As I’m getting out of the taxi, a young man in Western clothes and a wool hat steps out of the shadows and introduces himself  . As we’re exchanging whispered introductions, I can hear the first familiar bars of my favorite Sanskrit hymn coming from inside.*Ashram 아시람(힌두교도들이 수행하며 거주하는 곳)",어법상 맞는 표현 고르는 문제
27,3,"As the name implies, emerging markets are those that are beginning to be recognized for their significance to tourism. Currently both China and India are starting to establish themselves as major new markets of the future. While both countries have had large populations for many years, (A) it / that is only since the beginning of the twenty-first century that their sustained economic growth has created large numbers of individuals with sufficient income and education to support the growing desire to see the world. Indeed, the number of potential travelers from both of the countries (B) is / are staggering when examined in relation to the capacity of traditional destinations and transportation systems. One of the greatest challenges (C) facing / faced the world’s tourism industry will be to develop the facilities to meet the demands from these two emerging markets.","As the name implies, emerging markets are those that are beginning to be recognized for their significance to tourism. Currently both China and India are starting to establish themselves as major new markets of the future. While both countries have had large populations for many years, it is only since the beginning of the twenty-first century that their sustained economic growth has created large numbers of individuals with sufficient income and education to support the growing desire to see the world. Indeed, the number of potential travelers from both of the countries is staggering when examined in relation to the capacity of traditional destinations and transportation systems. One of the greatest challenges facing the world’s tourism industry will be to develop the facilities to meet the demands from these two emerging markets.",어법상 맞는 표현 고르는 문제
28,29,,,어법상 맞는 표현 고르는 문제
29,30,,,어법상 맞는 표현 고르는 문제
30,31,,,어법상 맞는 표현 고르는 문제
31,3,"All my life I have wondered about the possibility of life elsewhere. What would it be like? Of what would it (A) make / be made ? All living things on our planet are constructed of organic molecules―complex microscopic architectures in which the carbon atom plays a central role. There was once a time before life, (B) when / which the Earth was barren and utterly desolate. Our world is now overflowing with life. How did it come about? How, in the absence of life, were carbon-based organic molecules made? How did the first living things arise? How did life evolve to produce beings as (C) elaborate / elaborately as we, able to explore the mystery of our own origins? ","All my life I have wondered about the possibility of life elsewhere. What would it be like? Of what would it be made ? All living things on our planet are constructed of organic molecules―complex microscopic architectures in which the carbon atom plays a central role. There was once a time before life, when the Earth was barren and utterly desolate. Our world is now overflowing with life. How did it come about? How, in the absence of life, were carbon-based organic molecules made? How did the first living things arise? How did life evolve to produce beings as elaborate as we, able to explore the mystery of our own origins? ",어법상 맞는 표현 고르는 문제
32,33,,,어법상 맞는 표현 고르는 문제
33,3,"Considerable evidence suggests that life stress can weaken immune functioning. Research by Ronald Glaser and his coworkers at Ohio State University (A) has / have shown that reduced immune system effectiveness is one possible reason for increased risk of illness. In one study, researchers closely followed medical students over a one？year period. They collected blood samples from the students during three stressful academic examination periods in order to measure immune cell activity. The researchers found that immune system effectiveness was reduced during the stressful exam periods and (B) that / which this reduction was linked to the likelihood of becoming ill. Other studies have shown that stress hormones (C) released / releasing into the bloodstream by the adrenal glands can suppress the activity of specific immune system cells, increasing the likelihood of illness. *adrenal glands 부신","Considerable evidence suggests that life stress can weaken immune functioning. Research by Ronald Glaser and his coworkers at Ohio State University has shown that reduced immune system effectiveness is one possible reason for increased risk of illness. In one study, researchers closely followed medical students over a one？year period. They collected blood samples from the students during three stressful academic examination periods in order to measure immune cell activity. The researchers found that immune system effectiveness was reduced during the stressful exam periods and that this reduction was linked to the likelihood of becoming ill. Other studies have shown that stress hormones released into the bloodstream by the adrenal glands can suppress the activity of specific immune system cells, increasing the likelihood of illness. *adrenal glands 부신",어법상 맞는 표현 고르는 문제
34,3,"Astrology contends that which constellation the planets are in at the moment of your birth profoundly (A) influence / influences your future. A few thousand years ago, the idea developed that the motions of the planets determined the fates of kings, dynasties, and empires. Astrologers studied the motions of the planets and asked (B) them / themselves what had happened the last time that Venus was rising in the Constellation of the Goat; perhaps something similar would happen this time as well. It was a subtle and risky business. In many countries it was a capital offense for anyone but the official astrologer employed only by the state (C) to read / reading the portents in the skies; a good way to overthrow a regime was to predict its downfall. Chinese court astrologers who made inaccurate predictions were executed.  *portent 조짐, 전조","Astrology contends that which constellation the planets are in at the moment of your birth profoundly influences your future. A few thousand years ago, the idea developed that the motions of the planets determined the fates of kings, dynasties, and empires. Astrologers studied the motions of the planets and asked themselves what had happened the last time that Venus was rising in the Constellation of the Goat; perhaps something similar would happen this time as well. It was a subtle and risky business. In many countries it was a capital offense for anyone but the official astrologer employed only by the state to read the portents in the skies; a good way to overthrow a regime was to predict its downfall. Chinese court astrologers who made inaccurate predictions were executed.  *portent 조짐, 전조",어법상 맞는 표현 고르는 문제
35,36,,,어법상 맞는 표현 고르는 문제
36,3,"If firms in different countries are subject to different laws and regulations, then it is unfair to expect the firms (A) competing / to compete in the international marketplace. For instance, suppose that the government of Neighborland subsidizes its textile industry by giving textile companies large tax breaks. The Isolandian textile industry might insist that it (B) protect / be protected from this foreign competition because Neighborland is not competing fairly. Would it, in fact, hurt Isoland to buy textiles from another country at a subsidized price? Certainly, Isolandian textile producers would suffer, but Isolandian consumers would benefit from the low price. Neighborland’s subsidy to its industry may be a bad policy, but (C) it / that is the taxpayers of Neighborland who increase the burden. Isoland can benefit from the opportunity to buy textiles at a subsidized price.                                                   *subsidize 보조금을지급하다","If firms in different countries are subject to different laws and regulations, then it is unfair to expect the firms to compete in the international marketplace. For instance, suppose that the government of Neighborland subsidizes its textile industry by giving textile companies large tax breaks. The Isolandian textile industry might insist that it be protected from this foreign competition because Neighborland is not competing fairly. Would it, in fact, hurt Isoland to buy textiles from another country at a subsidized price? Certainly, Isolandian textile producers would suffer, but Isolandian consumers would benefit from the low price. Neighborland’s subsidy to its industry may be a bad policy, but it is the taxpayers of Neighborland who increase the burden. Isoland can benefit from the opportunity to buy textiles at a subsidized price.                                                   *subsidize 보조금을지급하다",어법상 맞는 표현 고르는 문제
37,3,"Teenagers didn’t even exist seventy years ago. At least they weren’t (A) giving / given their own separate generational distinction until the very recent past. The word teenager first came into popular use around the time of the Second World War. Though many changes have taken place since the first teenagers arrived formally on the social scene, there are plenty of similarities between the teens of the 1940s and (B) that / those of the twenty-first century. From the early days of emerging teenage culture to its contemporary counterpart, the underlying themes have been the same: independence and self-identity. Throughout the years, teenagers in our American society have been (C) active / actively in searching for their identity while trying to establish independence from their parents.","Teenagers didn’t even exist seventy years ago. At least they weren’t given their own separate generational distinction until the very recent past. The word teenager first came into popular use around the time of the Second World War. Though many changes have taken place since the first teenagers arrived formally on the social scene, there are plenty of similarities between the teens of the 1940s and those of the twenty-first century. From the early days of emerging teenage culture to its contemporary counterpart, the underlying themes have been the same: independence and self-identity. Throughout the years, teenagers in our American society have been active in searching for their identity while trying to establish independence from their parents.",어법상 맞는 표현 고르는 문제
38,39,,,어법상 맞는 표현 고르는 문제
39,40,,,어법상 맞는 표현 고르는 문제
40,41,,,어법상 맞는 표현 고르는 문제
41,3,"One of the most common requests that left-handed people make of specialist equipment suppliers (A) is / are for camera and video equipment with controls that have easier access for the left hand. Point-and-shoot cameras are rarely a problem, unless the right hand is particularly weak, and the common annoyance of trying to line up the shot in a right-eye positioned viewfinder (B) used / using a dominant left eye has largely been overcome in digital cameras with the use of the preview screen. More specialized cameras and video cameras, however, are becoming increasingly ergonomic, and, as is usually the case, the term ‘ergonomic’ actually means ""right-handed friendly."" Unfortunately, despite regular requests of manufacturers, there seems little likelihood of left-handed versions (C) producing / being produced . ","One of the most common requests that left-handed people make of specialist equipment suppliers is for camera and video equipment with controls that have easier access for the left hand. Point-and-shoot cameras are rarely a problem, unless the right hand is particularly weak, and the common annoyance of trying to line up the shot in a right-eye positioned viewfinder using a dominant left eye has largely been overcome in digital cameras with the use of the preview screen. More specialized cameras and video cameras, however, are becoming increasingly ergonomic, and, as is usually the case, the term ‘ergonomic’ actually means ""right-handed friendly."" Unfortunately, despite regular requests of manufacturers, there seems little likelihood of left-handed versions being produced. ",어법상 맞는 표현 고르는 문제
42,3,"Companion planting is a term used to describe the growing of different species of plants together to the benefit of one or both. The technique is often (A) thinking / thought of as a mainstay of organic pest and disease control. Research is beginning to show that this mixed planting can cut down on pest damage simply by (B) reducing / reduction the chance of a pest landing on a suitable host. Cabbages interplanted with an unrelated crop such as French beans or undersown with clover show much lower infestations of cabbage aphis and cabbage root fly. When a cabbage root fly lands on a plant, it tastes (C) it / itself with its feet. If it lands on several suitable plants in a row, it stops to lay eggs. If the next plant is not suitable, it may fly off elsewhere. ","Companion planting is a term used to describe the growing of different species of plants together to the benefit of one or both. The technique is often thought of as a mainstay of organic pest and disease control. Research is beginning to show that this mixed planting can cut down on pest damage simply by reducing the chance of a pest landing on a suitable host. Cabbages interplanted with an unrelated crop such as French beans or undersown with clover show much lower infestations of cabbage aphis and cabbage root fly. When a cabbage root fly lands on a plant, it tastes it with its feet. If it lands on several suitable plants in a row, it stops to lay eggs. If the next plant is not suitable, it may fly off elsewhere. ",어법상 맞는 표현 고르는 문제
43,44,,,어법상 맞는 표현 고르는 문제
44,45,,,어법상 맞는 표현 고르는 문제
45,3,"  To explore the effects of mood on communication, researchers asked either happy or sad participants to accept or reject the videotaped statements of targets who were questioned after a staged theft, and were either guilty, or not guilty. The targets (A)instructed / were instructed to either steal or leave in place a movie pass in an empty room, unobserved by anyone, and then deny taking the movie ticket. So some targets were lying and some were telling the truth when denying the theft. Those in a positive mood were more likely to accept denials as truthful. Sad participants made significantly more guilty judgements, and were significantly better at (B)correct / correctly  detecting deceptive (guilty) targets. Negative affect thus improved the accurate distinction of truths from lies in the observed interviews. A signal detectionanalysis also confirmed that sad judges were more accurate in detecting deception (identifying guilty targets as guilty) than (C)did / were neutral or happy judges, consistent with the predicted moodinduced processing differences.","  To explore the effects of mood on communication, researchers asked either happy or sad participants to accept or reject the videotaped statements of targets who were questioned after a staged theft, and were either guilty, or not guilty. The targets (A)were instructed to either steal or leave in place a movie pass in an empty room, unobserved by anyone, and then deny taking the movie ticket. So some targets were lying and some were telling the truth when denying the theft. Those in a positive mood were more likely to accept denials as truthful. Sad participants made significantly more guilty judgements, and were significantly better at (B)correctly  detecting deceptive (guilty) targets. Negative affect thus improved the accurate distinction of truths from lies in the observed interviews. A signal detectionanalysis also confirmed that sad judges were more accurate in detecting deception (identifying guilty targets as guilty) than (C)were neutral or happy judges, consistent with the predicted moodinduced processing differences.",어법상 맞는 표현 고르는 문제
46,47,,,어법상 맞는 표현 고르는 문제
47,48,,,어법상 맞는 표현 고르는 문제
48,49,,,어법상 맞는 표현 고르는 문제
49,50,,,어법상 맞는 표현 고르는 문제
50,51,,,어법상 맞는 표현 고르는 문제
51,3," When parents are pressed to explain their individual styles of interaction with their children, each gives equally strong rationales. Mothers often act on an impulse to prepare their children for the relationships and the emotional connections that will keep them (A) safely / safe , predisposed to learning, and feeling loved and secure. For instance, moms focus on teaching children manners and the importance of showing appreciation. In this way, they convey the notion that politeness facilitates social interaction, and that (B) establishing / establishes good habits and routines early in life will be beneficial in the future. Fathers, on the other hand, tend to explain their distracting, risk-taking, and problem-solving behavior as purposeful preparation of their children for the real world (C) which / into which the children will eventually be propelled. "," When parents are pressed to explain their individual styles of interaction with their children, each gives equally strong rationales. Mothers often act on an impulse to prepare their children for the relationships and the emotional connections that will keep them safe , predisposed to learning, and feeling loved and secure. For instance, moms focus on teaching children manners and the importance of showing appreciation. In this way, they convey the notion that politeness facilitates social interaction, and that establishing good habits and routines early in life will be beneficial in the future. Fathers, on the other hand, tend to explain their distracting, risk-taking, and problem-solving behavior as purposeful preparation of their children for the real world into which the children will eventually be propelled. ",어법상 맞는 표현 고르는 문제
52,3," Occasionally I encounter the view that competition for children is good for them. ""They need to learn how to lose!"" is the battle cry often (A) emitted / is emitted by the frustrated ex-athlete or wannabe superstar. There might be a grain of truth to the idea that children need to learn how to lose gracefully and with understanding, but I remain convinced (B) of / that learning to cooperate with others is a far more important skill to learn than learning how to lose. An occasional loss might not be harmful to children. Losing every day, however, is certainly unpleasant, if not harmful. And if we’re not careful and sensitive, some children can easily be placed in situations (C) which / in which virtually every physical education class is a losing experience. "," Occasionally I encounter the view that competition for children is good for them. ""They need to learn how to lose!"" is the battle cry often emitted by the frustrated ex-athlete or wannabe superstar. There might be a grain of truth to the idea that children need to learn how to lose gracefully and with understanding, but I remain convinced that learning to cooperate with others is a far more important skill to learn than learning how to lose. An occasional loss might not be harmful to children. Losing every day, however, is certainly unpleasant, if not harmful. And if we’re not careful and sensitive, some children can easily be placed in situations in which virtually every physical education class is a losing experience. ",어법상 맞는 표현 고르는 문제
53,54,,,어법상 맞는 표현 고르는 문제
54,55,,,어법상 맞는 표현 고르는 문제
55,56,,,어법상 맞는 표현 고르는 문제
56,57,,,어법상 맞는 표현 고르는 문제
57,3," Alertness at water sources is an almost universal animal trait. After all, predators soon learn where and when the local animals drink each day, and they make (A) it / this a point to be there too. Keeping their head down too long while drinking can be an Achilles’ heel for prey animals. Even the skyscraper giraffe, able to see a predator when it is still a very small spot on the horizon, (B) is / are in danger when it dips its head to drink. Because of its unusual architecture, it must splay its front legs apart to lower its mouth down to water level. It takes a few heart-pounding seconds to hitch itself upright again, giving the predators-in-waiting an edge. Now that you know what a trial drinking can be, carefully (C) watch / watching the animals at the zoo when they drink water. Though they need not worry about predators in their captive environment, their wild wariness often remains.    "," Alertness at water sources is an almost universal animal trait. After all, predators soon learn where and when the local animals drink each day, and they make it a point to be there too. Keeping their head down too long while drinking can be an Achilles’ heel for prey animals. Even the skyscraper giraffe, able to see a predator when it is still a very small spot on the horizon, is in danger when it dips its head to drink. Because of its unusual architecture, it must splay its front legs apart to lower its mouth down to water level. It takes a few heart-pounding seconds to hitch itself upright again, giving the predators-in-waiting an edge. Now that you know what a trial drinking can be, carefully watch the animals at the zoo when they drink water. Though they need not worry about predators in their captive environment, their wild wariness often remains.    ",어법상 맞는 표현 고르는 문제
58,59,,,어법상 맞는 표현 고르는 문제
59,60,,,어법상 맞는 표현 고르는 문제
60,61,,,어법상 맞는 표현 고르는 문제
